ID,question,en_question,annotations,idks,country
Na-ko-25-1,درایران ورزش‌های معمولی که در روز ورزش مدارس انجام می‌شوند چیست؟,What are the typical sports played in Iran's school sports day?,{'en_answer': 'football'},"{'idk': 0, 'no-answer': 0, 'not-applicable': 0}",IR
Na-ko-25-2,درایران ورزش‌های معمولی که در روز ورزش مدارس انجام می‌شوند چیست؟,What are the typical sports played in Iran's school sports day?,{'en_answer': 'football'},"{'idk': 0, 'no-answer': 0, 'not-applicable': 0}",IR
Na-ko-25-3,درایران ورزش‌های معمولی که در روز ورزش مدارس انجام می‌شوند چیست؟,What are the typical sports played in Iran's school sports day?,{'en_answer': 'football'},"{'idk': 0, 'no-answer': 0, 'not-applicable': 0}",IR
Na-ko-25-4,درایران ورزش‌های معمولی که در روز ورزش مدارس انجام می‌شوند چیست؟,What are the typical sports played in Iran's school sports day?,{'en_answer': 'football'},"{'idk': 0, 'no-answer': 0, 'not-applicable': 0}",IR
Na-ko-25-5,درایران ورزش‌های معمولی که در روز ورزش مدارس انجام می‌شوند چیست؟,What are the typical sports played in Iran's school sports day?,{'en_answer': 'morning exercise'},"{'idk': 0, 'no-answer': 0, 'not-applicable': 0}",IR
Na-ko-25-6,درایران ورزش‌های معمولی که در روز ورزش مدارس انجام می‌شوند چیست؟,What are the typical sports played in Iran's school sports day?,{'en_answer': 'wrestling'},"{'idk': 0, 'no-answer': 0, 'not-applicable': 0}",IR
Na-ko-25-7,درایران ورزش‌های معمولی که در روز ورزش مدارس انجام می‌شوند چیست؟,What are the typical sports played in Iran's school sports day?,{'en_answer': 'warming up'},"{'idk': 0, 'no-answer': 0, 'not-applicable': 0}",IR
Na-ko-25-8,درایران ورزش‌های معمولی که در روز ورزش مدارس انجام می‌شوند چیست؟,What are the typical sports played in Iran's school sports day?,{'en_answer': 'aerobic exercise'},"{'idk': 0, 'no-answer': 0, 'not-applicable': 0}",IR
Na-ko-25-9,درایران ورزش‌های معمولی که در روز ورزش مدارس انجام می‌شوند چیست؟,What are the typical sports played in Iran's school sports day?,{'en_answer': 'volleyball'},"{'idk': 0, 'no-answer': 0, 'not-applicable': 0}",IR
Na-ko-25-10,درایران ورزش‌های معمولی که در روز ورزش مدارس انجام می‌شوند چیست؟,What are the typical sports played in Iran's school sports day?,{'en_answer': 'basketball'},"{'idk': 0, 'no-answer': 0, 'not-applicable': 0}",IR
Na-ko-25-11,درایران ورزش‌های معمولی که در روز ورزش مدارس انجام می‌شوند چیست؟,What are the typical sports played in Iran's school sports day?,{'en_answer': 'ping pong'},"{'idk': 0, 'no-answer': 0, 'not-applicable': 0}",IR
New-en-79-1,Which region of the UK is well known for its theatrical performances?,Which region of UK is well known for its theatrical performances?,{'en_answer': 'london'},"{'idk': 0, 'no-answer': 0, 'not-applicable': 0}",GB
New-en-79-2,Which region of the UK is well known for its theatrical performances?,Which region of UK is well known for its theatrical performances?,{'en_answer': 'london'},"{'idk': 0, 'no-answer': 0, 'not-applicable': 0}",GB
New-en-79-3,Which region of the UK is well known for its theatrical performances?,Which region of UK is well known for its theatrical performances?,{'en_answer': 'london'},"{'idk': 0, 'no-answer': 0, 'not-applicable': 0}",GB
New-en-79-4,Which region of the UK is well known for its theatrical performances?,Which region of UK is well known for its theatrical performances?,{'en_answer': 'london'},"{'idk': 0, 'no-answer': 0, 'not-applicable': 0}",GB
New-en-79-5,Which region of the UK is well known for its theatrical performances?,Which region of UK is well known for its theatrical performances?,{'en_answer': 'london'},"{'idk': 0, 'no-answer': 0, 'not-applicable': 0}",GB
New-en-79-6,Which region of the UK is well known for its theatrical performances?,Which region of UK is well known for its theatrical performances?,{'en_answer': 'West End of London'},"{'idk': 0, 'no-answer': 0, 'not-applicable': 0}",GB
New-en-79-7,Which region of the UK is well known for its theatrical performances?,Which region of UK is well known for its theatrical performances?,{'en_answer': 'West End London'},"{'idk': 0, 'no-answer': 0, 'not-applicable': 0}",GB
New-en-79-8,Which region of the UK is well known for its theatrical performances?,Which region of UK is well known for its theatrical performances?,{'en_answer': 'west end'},"{'idk': 0, 'no-answer': 0, 'not-applicable': 0}",GB
