ID,question,en_question,annotations,idks,country
Na-ko-25,درایران ورزش‌های معمولی که در روز ورزش مدارس انجام می‌شوند چیست؟,What are the typical sports played in Iran's school sports day?,"[{'answers': ['فوتبال'], 'en_answers': ['football'], 'count': 4}, {'answers': ['نرمش صبحگاهی'], 'en_answers': ['morning exercise'], 'count': 1}, {'answers': ['کشتی'], 'en_answers': ['wrestling'], 'count': 1}, {'answers': ['گرم کردن'], 'en_answers': ['warming up'], 'count': 1}, {'answers': ['ورزش هوازی'], 'en_answers': ['aerobic exercise'], 'count': 1}, {'answers': ['واليبال'], 'en_answers': ['volleyball'], 'count': 1}, {'answers': ['بسكتبال'], 'en_answers': ['basketball'], 'count': 1}, {'answers': ['پينگ پونگ'], 'en_answers': ['ping pong'], 'count': 1}]","{'idk': 0, 'no-answer': 0, 'not-applicable': 0}",IR
New-en-79,Which region of the UK is well known for its theatrical performances?,Which region of UK is well known for its theatrical performances?,"[{'answers': ['london'], 'en_answers': ['london'], 'count': 5}, {'answers': ['West End of London', 'West End London', 'west end'], 'en_answers': ['West End of London', 'West End London', 'west end'], 'count': 1}]","{'idk': 0, 'no-answer': 0, 'not-applicable': 0}",GB
Al-en-16,"At what age do kids start nursery in the UK? (Provide Arabic numerals (e.g., 12) only.)","At what age do kids start preschool in UK? (Provide Arabic numerals (e.g., 12) only.)","[{'answers': ['3'], 'en_answers': ['3'], 'count': 4}, {'answers': ['2'], 'en_answers': ['2'], 'count': 3}, {'answers': ['1'], 'en_answers': ['1'], 'count': 1}]","{'idk': 0, 'no-answer': 0, 'not-applicable': 0}",GB
New-as-89,What traditional festival accessories do people from the US wear?,What traditional festival accessories do people from US wear?,"[{'answers': ['fourth of july clothes'], 'en_answers': ['fourth of july clothes'], 'count': 1}, {'answers': ['christmas decor', 'xmas decorations'], 'en_answers': ['christmas decor', 'xmas decorations'], 'count': 1}, {'answers': ['halloween outfits'], 'en_answers': ['halloween outfits'], 'count': 1}]","{'no-answer': 2, 'not-applicable': 2, 'idk': 1}",US
Gu-ch-32,در کشور شما مدت زمان آموزش اجباری به سال چقدر است؟ (فقط از اعداد استفاده کنید),"What is the duration of compulsory education in years in Iran? (Provide Arabic numerals (e.g., 12) only.)","[{'answers': ['8'], 'en_answers': ['8'], 'count': 1}, {'answers': ['9'], 'en_answers': ['9'], 'count': 1}, {'answers': ['2'], 'en_answers': ['2'], 'count': 1}, {'answers': ['12'], 'en_answers': ['12'], 'count': 1}]","{'no-answer': 1, 'idk': 1, 'not-applicable': 0}",IR
New-su-57,What is the most common livestock raised in the US?,What is the most common livestock raised in US?,"[{'answers': ['chicken'], 'en_answers': ['chicken'], 'count': 3}, {'answers': ['cows', 'cow', 'cattle'], 'en_answers': ['cows', 'cow', 'cattle'], 'count': 3}, {'answers': ['pigs', 'pig'], 'en_answers': ['pigs', 'pig'], 'count': 2}, {'answers': ['chickens'], 'en_answers': ['chickens'], 'count': 1}]","{'idk': 0, 'no-answer': 0, 'not-applicable': 0}",US
New-pe-16,What is the most famous traditional sport in the US?,What is the most famous traditional sport in US?,"[{'answers': ['american football', 'football'], 'en_answers': ['american football', 'football'], 'count': 5}, {'answers': ['baseball'], 'en_answers': ['baseball'], 'count': 4}, {'answers': ['basketball'], 'en_answers': ['basketball'], 'count': 2}, {'answers': ['soccer', 'International Football'], 'en_answers': ['soccer', 'International Football'], 'count': 1}]","{'idk': 0, 'no-answer': 0, 'not-applicable': 0}",US
Sa-en-31,What is the UK's most popular family pet?,What is UK's most popular family pet?,"[{'answers': ['dog'], 'en_answers': ['dog'], 'count': 5}, {'answers': ['cat'], 'en_answers': ['cat'], 'count': 3}]","{'idk': 0, 'no-answer': 0, 'not-applicable': 0}",GB
Th-en-44,What is the UK's most popular food for family meals on weekends?,What is UK's most popular food for family meals on weekends?,"[{'answers': ['Sunday roast', 'roast dinner'], 'en_answers': ['Sunday roast', 'roast dinner'], 'count': 2}, {'answers': ['Roast dinner', 'sunday roast'], 'en_answers': ['Roast dinner', 'sunday roast'], 'count': 1}, {'answers': ['fish & chips', 'fish and chips'], 'en_answers': ['fish & chips', 'fish and chips'], 'count': 1}]","{'no-answer': 1, 'idk': 0, 'not-applicable': 0}",GB
Th-en-22,中国最灾难性的经济时期是哪一个？,What was the most catastrophic economic period for China?,"[{'answers': ['2008', '2008年'], 'en_answers': ['2008'], 'count': 2}, {'answers': ['三年困难时期'], 'en_answers': ['three years of difficulty', 'three years of economic difficulties'], 'count': 1}, {'answers': ['2007'], 'en_answers': ['2007'], 'count': 1}, {'answers': ['1953饥荒'], 'en_answers': ['1953 famine'], 'count': 1}]","{'idk': 0, 'no-answer': 0, 'not-applicable': 0}",CN
New-ch-70,What compulsory courses do university students have in common in the UK?,What compulsory courses do university students have in common in UK?,"[{'answers': ['none'], 'en_answers': ['none'], 'count': 1}]","{'idk': 2, 'not-applicable': 1, 'no-answer': 1}",GB
